State,Value
  OXO XOX,1.0
  OXO XX ,0.0
  OXO XXO,0.0
  OXOO XX,1.0
  OXOOXX ,0.0
  OXOOXXX,1.0
  OXOXX  ,0.0
  OXOXXO ,0.0
  OXOXXXO,0.0
  OXX    ,0.0
  OXX   O,0.0
  OXX  O ,0.0
  OXX  XO,0.0
  OXX O  ,1.0
  OXX O X,0.0
  OXX OOX,1.0
  OXX OX ,0.0
  OXX X O,-1.0
  OXXO   ,0.0
  OXXO OX,0.0
  OXXOO X,0.0
  OXXOX  ,-1.0
  OXXOX O,-1.0
  OXXXO  ,1.0
  OXXXOOX,1.0
  X      ,0.0
  X     O,0.0
  X    O ,0.0
  X    OX,0.0
  X    XO,0.0
  X   O  ,0.0
  X   O X,0.0
  X   OOX,1.0
  X   OX ,0.0
  X   X O,0.0
  X   XO ,0.0
  X   XOO,0.0
  X  O   ,0.0
  X  O  X,0.0
  X  O OX,0.0
  X  O X ,0.0
  X  OO X,0.0
  X  OOX ,0.0
  X  OOXX,0.0
  X  OX  ,0.0
  X  OX O,1.0
  X  OXOX,0.0
  X  X  O,0.0
  X  X O ,0.0
  X  X OO,0.0
  X  XO  ,0.0
  X  XO O,0.0
  X  XOO ,1.0
  X  XOOX,1.0
  X  XOXO,0.0
  X  XXOO,0.0
  X O    ,0.0
  X O   X,0.0
  X O  OX,0.0
  X O  X ,0.0
  X O  XO,0.0
  X O O X,1.0
  X O OX ,0.0
  X O X  ,0.0
  X O X O,0.0
  X O XO ,0.0
  X O XXO,0.0
  X OOX  ,0.0
  X OOX X,-1.0
  X OOXX ,0.0
  X OX   ,0.0
  X OX  O,0.0
  X OX XO,0.0
  X OXO  ,0.0
  X OXO X,1.0
  X OXOX ,0.0
  X OXX O,0.0
  X OXXO ,0.0
  X OXXOO,0.0
  X X   O,0.0
  X X  O ,0.0
  X X  OO,1.0
  X X O  ,0.0
  X X O O,0.0
  X X OO ,0.0
  X X XOO,1.0
  X XO   ,0.0
  X XO  O,1.0
  X XO O ,0.0
  X XO OX,0.0
  X XOO  ,0.0
  X XOO X,0.0
  X XOOX ,0.0
  X XOX O,1.0
  X XOXO ,1.0
  X XXOO ,-1.0
  X XXOOO,-1.0
  XO     ,0.0
  XO    X,0.0
  XO   X ,0.0
  XO   XO,0.0
  XO  O X,0.0
  XO  OX ,0.0
  XO  X  ,0.0
  XO  X O,0.0
  XO  XO ,1.0
  XO  XOX,0.0
  XO O  X,0.0
  XO OXOX,1.0
  XO OXX ,-1.0
  XO X   ,0.0
  XO X  O,0.0
  XO X XO,0.0
  XO XO  ,0.0
  XO XOX ,-1.0
  XO XX O,0.0
  XO XXOO,0.0
  XOO  X ,0.0
  XOO  XX,0.0
  XOO OXX,0.0
  XOO X  ,0.0
  XOO XX ,-1.0
  XOO XXO,0.0
  XOOOX X,-1.0
  XOOOXX ,-1.0
  XOOX XO,0.0
  XOOXOX ,0.0
  XOOXOXX,1.0
  XOOXX O,0.0
  XOX    ,0.0
  XOX  O ,1.0
  XOX  OX,0.0
  XOX O  ,0.0
  XOX O X,-1.0
  XOX XO ,1.0
  XOXO   ,0.0
  XOXO  X,0.0
  XOXO OX,0.0
  XOXO X ,0.0
  XOXOOX ,1.0
  XOXOX  ,1.0
  XOXOXOX,1.0
  XOXXOXO,0.0
  XX    O,0.0
  XX   O ,0.0
  XX   OO,0.0
  XX  O  ,0.0
  XX  OOX,0.0
  XX O   ,0.0
  XX O  O,0.0
  XX O O ,0.0
  XX O OX,0.0
  XX OO  ,0.0
  XX OOX ,0.0
  XX OX O,0.0
  XX OXO ,0.0
  XX X OO,0.0
  XX XOO ,0.0
  XXO    ,0.0
  XXO   O,0.0
  XXO  O ,0.0
  XXO  XO,0.0
  XXO O  ,0.0
  XXO O X,0.0
  XXO OOX,0.0
  XXO OX ,0.0
  XXO X O,0.0
  XXOO XO,0.0
  XXOOO X,0.0
  XXOOOX ,0.0
  XXOOX  ,0.0
  XXOOX O,0.0
  XXOOXO ,1.0
  XXOOXOX,0.0
  XXOOXXO,0.0
  XXOXO  ,0.0
  XXOXOO ,0.0
  XXOXXOO,0.0
  XXX  OO,0.0
  XXX OO ,0.0
  XXXO  O,0.0
  XXXOO  ,0.0
  XXXOOOX,0.0
 O      X,0.0
 O     X ,0.0
 O     XX,0.0
 O    OXX,0.0
 O    X  ,0.0
 O    X X,0.0
 O    XX ,0.0
 O   O XX,1.0
 O   OX X,1.0
 O   OXX ,1.0
 O   OXXX,1.0
 O   X   ,0.0
 O   X  X,0.0
 O   X X ,0.0
 O   X XO,0.0
 O   XOX ,0.0
 O   XX  ,0.0
 O   XX O,0.0
 O   XXO ,0.0
 O   XXOX,-1.0
 O  O  XX,0.0
 O  O X X,1.0
 O  O XXX,1.0
 O  OX  X,0.0
 O  OX X ,0.0
 O  OXXOX,-1.0
 O  OXXXO,0.0
 O  X    ,0.0
 O  X   X,0.0
 O  X  OX,1.0
 O  X  X ,0.0
 O  X  XO,0.0
 O  X O X,0.0
